date,time,message
21-Dec.-2022,21:29:24,dad: (21:29) hello
21-Dec.-2022,21:29:30,ash: (21:29) sup
21-Dec.-2022,21:29:38,dad: (21:29) you good
21-Dec.-2022,21:29:41,ash: (21:29) yep
21-Dec.-2022,21:34:16,arhum (anonos): (21:34) I'm dumb
21-Dec.-2022,21:34:16,arhum (anonos): (21:34) 
21-Dec.-2022,21:34:22,ashar: (21:34) so am I
21-Dec.-2022,21:34:27,arhum (anonos): (21:34) I'm more dumb
21-Dec.-2022,21:34:44,ashar: (21:34) Oh yeah! well, i'm stupid
21-Dec.-2022,21:35:18,ashar: (21:35) i know you are but what am i
21-Dec.-2022,21:44:39,a: (21:44) sup
22-Dec.-2022,11:12:19,a:  a
22-Dec.-2022,12:19:24,a: a has selected a pokemon.
22-Dec.-2022,12:19:36,a:  hello
22-Dec.-2022,12:20:06,a: a has selected a pokemon.
22-Dec.-2022,12:20:14,a: a has selected a pokemon.
22-Dec.-2022,12:20:16,a: a has selected a pokemon.
22-Dec.-2022,12:20:18,a: a cannot select anymore pokemon.
22-Dec.-2022,12:24:53,a: Selected a pokemon.
22-Dec.-2022,12:24:55,a: Selected a pokemon.
22-Dec.-2022,12:24:57,a: Selected a pokemon.
22-Dec.-2022,12:24:58,a: Cannot select anymore pokemon.
22-Dec.-2022,12:24:59,a: Cannot select anymore pokemon.
22-Dec.-2022,12:25:01,a: Cannot select anymore pokemon.
22-Dec.-2022,12:25:02,a: Cannot select anymore pokemon.
22-Dec.-2022,12:25:04,a: Cannot select anymore pokemon.
22-Dec.-2022,12:25:06,a: Cannot select anymore pokemon.
22-Dec.-2022,12:25:15,a:  damn
22-Dec.-2022,13:05:56,a: Selected Victreebel
22-Dec.-2022,13:05:59,a: Selected Cinccino
22-Dec.-2022,13:06:00,a: Selected Simipour
22-Dec.-2022,13:06:01,a: Cannot select anymore pokemon.
22-Dec.-2022,13:06:03,a: Cannot select anymore pokemon.
22-Dec.-2022,13:06:04,a: Cannot select anymore pokemon.
22-Dec.-2022,13:06:05,a: Cannot select anymore pokemon.
22-Dec.-2022,13:06:07,a: Cannot select anymore pokemon.
22-Dec.-2022,13:06:12,a:  hello
22-Dec.-2022,13:06:46,b: Selected Hitmonchan
22-Dec.-2022,13:06:49,b: Selected Klefki
22-Dec.-2022,13:06:51,b:  haha
22-Dec.-2022,13:06:58,b: Selected Cinderace
22-Dec.-2022,13:07:01,b: Cannot select anymore pokemon.
22-Dec.-2022,13:07:16,b:  damn it
23-Dec.-2022,13:49:04,a: Selected a pokemon.
23-Dec.-2022,13:50:03,a: Selected a pokemon.
23-Dec.-2022,13:50:04,a: Selected a pokemon.
23-Dec.-2022,13:50:08,a: Selected a pokemon.
23-Dec.-2022,13:50:10,a: Cannot select anymore pokemon.
23-Dec.-2022,13:50:12,a: Cannot select anymore pokemon.
23-Dec.-2022,13:50:13,a: Cannot select anymore pokemon.
23-Dec.-2022,13:50:28,a: Cannot select anymore pokemon.
23-Dec.-2022,13:50:32,a: Cannot select anymore pokemon.
23-Dec.-2022,13:52:26,a: Selected a pokemon.
23-Dec.-2022,13:52:27,a: Selected a pokemon.
23-Dec.-2022,13:52:28,a: Selected a pokemon.
23-Dec.-2022,13:52:29,a: Cannot select anymore pokemon.
23-Dec.-2022,13:52:30,a: Cannot select anymore pokemon.
23-Dec.-2022,13:53:51,a: Selected a pokemon.
23-Dec.-2022,13:53:52,a: Selected a pokemon.
23-Dec.-2022,13:53:54,a: Selected a pokemon.
23-Dec.-2022,13:53:56,a: Cannot select anymore pokemon.
23-Dec.-2022,13:53:59,a: Cannot select anymore pokemon.
23-Dec.-2022,13:54:00,a: Cannot select anymore pokemon.
23-Dec.-2022,13:54:04,a:  hello
23-Dec.-2022,13:54:08,a: Cannot select anymore pokemon.
23-Dec.-2022,13:56:59,a: Selected a pokemon.
23-Dec.-2022,13:57:01,a: Selected a pokemon.
23-Dec.-2022,13:57:02,a: Selected a pokemon.
23-Dec.-2022,13:57:04,a: Cannot select anymore pokemon.
23-Dec.-2022,13:57:05,a: Cannot select anymore pokemon.
23-Dec.-2022,13:57:05,a: Cannot select anymore pokemon.
23-Dec.-2022,13:57:06,a: Cannot select anymore pokemon.
23-Dec.-2022,14:18:44,a: Selected a pokemon.
23-Dec.-2022,14:18:45,a: Selected a pokemon.
23-Dec.-2022,14:18:47,a: Selected a pokemon.
23-Dec.-2022,14:18:49,a: Cannot select anymore pokemon.
23-Dec.-2022,14:19:31,a: Selected a pokemon.
23-Dec.-2022,14:19:32,a: Selected a pokemon.
23-Dec.-2022,14:19:33,a: Selected a pokemon.
23-Dec.-2022,14:19:34,a: Cannot select anymore pokemon.
23-Dec.-2022,14:25:49,a: Selected a pokemon.
23-Dec.-2022,14:25:50,a: Selected a pokemon.
23-Dec.-2022,14:25:51,a: Selected a pokemon.
23-Dec.-2022,14:25:52,a: Cannot select anymore pokemon.
23-Dec.-2022,14:44:25,a: Selected a pokemon.
23-Dec.-2022,14:44:25,a: Selected a pokemon.
23-Dec.-2022,14:44:26,a: Selected a pokemon.
23-Dec.-2022,14:44:27,a: Cannot select anymore pokemon.
24-Dec.-2022,01:54:08,: Selected a pokemon.
24-Dec.-2022,01:54:09,: Selected a pokemon.
24-Dec.-2022,01:54:10,: Selected a pokemon.
24-Dec.-2022,01:54:43,:  h
24-Dec.-2022,01:55:58,a: Selected a pokemon.
24-Dec.-2022,01:55:58,a: Selected a pokemon.
24-Dec.-2022,01:56:00,a: Selected a pokemon.
24-Dec.-2022,01:56:01,a: Cannot select anymore pokemon.
24-Dec.-2022,01:58:47,a:  hghb
24-Dec.-2022,01:58:48,a:  nmn
24-Dec.-2022,01:58:49,a:  njnj
24-Dec.-2022,12:32:13,a:  k
24-Dec.-2022,13:54:01,a: Selected a pokemon.
24-Dec.-2022,13:54:02,a: Selected a pokemon.
24-Dec.-2022,13:54:03,a: Selected a pokemon.
24-Dec.-2022,13:54:04,a: Cannot select anymore pokemon.
24-Dec.-2022,13:54:08,a:  hello
24-Dec.-2022,19:56:00,Ashar:  g
26-Dec.-2022,18:02:56,ash:  a
26-Dec.-2022,18:09:17,ash:  hello
26-Dec.-2022,19:11:29,ash:  hello
26-Dec.-2022,19:11:34,arh:  hey
27-Dec.-2022,23:52:55,k:  hello
27-Dec.-2022,23:52:58,k:  sup
28-Dec.-2022,23:53:41,a:  hello
28-Dec.-2022,23:53:43,a:  yo
29-Dec.-2022,17:14:47,p:  hello
29-Dec.-2022,17:14:49,p:  sup
29-Dec.-2022,17:20:45,m:  hello
01-Jan.-2023,14:13:15,p:  hello
01-Jan.-2023,14:13:33,a:  hey